song,path_to_wav,artist,artist_genre,genre
Shoelaces,./audio_data/mp3_data/Shoelaces.mp3,Prince Daddy & the Hyena,albany ny indiealternative emobubblegrungediy emoemoindie garage rockindie punkmidwest emo,punk
Radiate,./audio_data/mp3_data/Radiate.mp3,Cancer Bats,canadian hardcorecanadian metalcanadian metalcorecanadian punk,punk
Boundless Contempt,./audio_data/mp3_data/Boundless Contempt.mp3,Terror,hardcoremelodic hardcorestraight edge,punk
Can't Take It Anymore,./audio_data/mp3_data/Can't Take It Anymore.mp3,TOUTS,derry indienorthern irish indienorthern irish punk,punk
Gimme A Call,./audio_data/mp3_data/Gimme A Call.mp3,Heart to Gold,alternative emodiy emominneapolis punk,punk
Give Me A Sign,./audio_data/mp3_data/Give Me A Sign.mp3,Heart Shaped Lakes,,punk
Relentless,./audio_data/mp3_data/Relentless.mp3,PUP,alternative emobubblegrungecanadian indiecanadian pop punkcanadian punkemoindie punkindie rockmodern rocktoronto indie,punk
Blank Curtain,./audio_data/mp3_data/Blank Curtain.mp3,Cola,,punk
Come Out and Play,./audio_data/mp3_data/Come Out and Play.mp3,The Offspring,alternative metalpermanent wavepunkrockskate punksocal pop punk,punk
American Idiot,./audio_data/mp3_data/American Idiot.mp3,Green Day,permanent wavepunk,punk
Pretend We're Dead,./audio_data/mp3_data/Pretend We're Dead.mp3,L7,alternative rockgrungepunkriot grrrlrock,punk
Basket Case,./audio_data/mp3_data/Basket Case.mp3,Green Day,permanent wavepunk,punk
Rebel Girl,./audio_data/mp3_data/Rebel Girl.mp3,Bikini Kill,olympia wa indieriot grrrl,punk
My Girlfriend's Dead,./audio_data/mp3_data/My Girlfriend's Dead.mp3,The Vandals,hardcore punkmelodic hardcorepunkskaska punkskate punk,punk
I Never Promised You A Rose Garden,./audio_data/mp3_data/I Never Promised You A Rose Garden.mp3,The Suicide Machines,modern ska punkpunkskaska punkskate punk,punk
Miss Murder,./audio_data/mp3_data/Miss Murder.mp3,AFI,pop punkpunkscreamoskate punk,punk
Sound System - 2007 Remaster,./audio_data/mp3_data/Sound System - 2007 Remaster.mp3,Operation Ivy,hardcore punkpunkskaska punkskate punk,punk
New Girl,./audio_data/mp3_data/New Girl.mp3,The Suicide Machines,modern ska punkpunkskaska punkskate punk,punk
Story of My Life,./audio_data/mp3_data/Story of My Life.mp3,Social Distortion,alternative rockpunkpunk 'n' rollskate punksocal pop punk,punk
Superman,./audio_data/mp3_data/Superman.mp3,Goldfinger,pop punkpunkskaska punkskate punksocal pop punk,punk
Scholarship In Punk,./audio_data/mp3_data/Scholarship In Punk.mp3,Guttermouth,melodic hardcorepunkska punkskate punk,punk
Insubordination,./audio_data/mp3_data/Insubordination.mp3,Voodoo Glow Skulls,chicano punkmodern ska punkpunkskaska mexicanoska punkskate punk,punk
Don't Stop Me Now,./audio_data/mp3_data/Don't Stop Me Now.mp3,The Vandals,hardcore punkmelodic hardcorepunkskaska punkskate punk,punk
Sell Out,./audio_data/mp3_data/Sell Out.mp3,Reel Big Fish,modern ska punkpunkskaska punkskate punksocal pop punk,punk
Dammit,./audio_data/mp3_data/Dammit.mp3,blink-182,pop punkpunkrocksocal pop punk,punk
Everything Went Numb,./audio_data/mp3_data/Everything Went Numb.mp3,Streetlight Manifesto,modern ska punkpunkskaska punkskate punk,punk
All My Best Friends Are Metalheads,./audio_data/mp3_data/All My Best Friends Are Metalheads.mp3,Less Than Jake,modern ska punkpop punkpunkskaska punkskate punk,punk
Question The Answer,./audio_data/mp3_data/Question The Answer.mp3,Strike Anywhere,melodic hardcoreorgcorepunkskate punkvirginia punk,punk
She's Got The Look,./audio_data/mp3_data/She's Got The Look.mp3,Guttermouth,melodic hardcorepunkska punkskate punk,punk
The Impression That I Get,./audio_data/mp3_data/The Impression That I Get.mp3,The Mighty Mighty Bosstones,boston punkboston rockpunkskaska punkskate punk,punk
Roots Radical,./audio_data/mp3_data/Roots Radical.mp3,Rancid,punkrap rockskaska punkskate punk,punk
Dinosaurs Will Die,./audio_data/mp3_data/Dinosaurs Will Die.mp3,NOFX,punkskate punksocal pop punk,punk
Drain the Blood,./audio_data/mp3_data/Drain the Blood.mp3,The Distillers,punkska punkskate punk,punk
High School Never Ends - Main Version - Explicit,./audio_data/mp3_data/High School Never Ends - Main Version - Explicit.mp3,Bowling For Soup,comicpop punkrocktexas pop punk,punk
Boxcar,./audio_data/mp3_data/Boxcar.mp3,Jawbreaker,alternative emoalternative popalternative rockemoemo punkindie punkindie rockmelodic hardcoreorgcorepost-hardcorepunkskate punk,punk
Heart Attack American,./audio_data/mp3_data/Heart Attack American.mp3,The Bronx,melodic hardcorepost-hardcoreskate punk,punk
Re-Education (Through Labor),./audio_data/mp3_data/Re-Education (Through Labor).mp3,Rise Against,chicago hardcorechicago punkhardcore punkpunk,punk
I'm Shipping Up To Boston,./audio_data/mp3_data/I'm Shipping Up To Boston.mp3,Dropkick Murphys,boston punkboston rockceltic punkceltic rockpunkskate punk,punk
I Was Wrong,./audio_data/mp3_data/I Was Wrong.mp3,Social Distortion,alternative rockpunkpunk 'n' rollskate punksocal pop punk,punk
Misery Business,./audio_data/mp3_data/Misery Business.mp3,Paramore,candy poppixiepop emopop punk,punk
"Dance, Dance","./audio_data/mp3_data/Dance, Dance.mp3",Fall Out Boy,emomodern rockrock,punk
The Rock Show,./audio_data/mp3_data/The Rock Show.mp3,blink-182,pop punkpunkrocksocal pop punk,punk
In Too Deep,./audio_data/mp3_data/In Too Deep.mp3,Sum 41,canadian pop punkcanadian punkpunkrock,punk
I'm Not Okay (I Promise),./audio_data/mp3_data/I'm Not Okay (I Promise).mp3,My Chemical Romance,emopop punkrock,punk
American Idiot,./audio_data/mp3_data/American Idiot.mp3,Green Day,permanent wavepunk,punk
Miss Murder,./audio_data/mp3_data/Miss Murder.mp3,AFI,pop punkpunkscreamoskate punk,punk
The Kids Aren't Alright,./audio_data/mp3_data/The Kids Aren't Alright.mp3,The Offspring,alternative metalpermanent wavepunkrockskate punksocal pop punk,punk
Stacy's Mom,./audio_data/mp3_data/Stacy's Mom.mp3,Fountains Of Wayne,alternative rockpop rockpower pop,punk
The Middle,./audio_data/mp3_data/The Middle.mp3,Jimmy Eat World,alternative rockemomodern power popmodern rockpop punkpop rockrock,punk
I Don't Care,./audio_data/mp3_data/I Don't Care.mp3,Fall Out Boy,emomodern rockrock,punk
Teenagers,./audio_data/mp3_data/Teenagers.mp3,My Chemical Romance,emopop punkrock,punk
"Fire, Ready, Aim","./audio_data/mp3_data/Fire, Ready, Aim.mp3",Green Day,permanent wavepunk,punk
Fat Lip,./audio_data/mp3_data/Fat Lip.mp3,Sum 41,canadian pop punkcanadian punkpunkrock,punk
"You're Gonna Go Far, Kid","./audio_data/mp3_data/You're Gonna Go Far, Kid.mp3",The Offspring,alternative metalpermanent wavepunkrockskate punksocal pop punk,punk
High School Never Ends - Main Version - Explicit,./audio_data/mp3_data/High School Never Ends - Main Version - Explicit.mp3,Bowling For Soup,comicpop punkrocktexas pop punk,punk
Become What You Hate,./audio_data/mp3_data/Become What You Hate.mp3,Midtown,emopop punk,punk
Dead on Arrival,./audio_data/mp3_data/Dead on Arrival.mp3,Fall Out Boy,emomodern rockrock,punk
Know Your Enemy,./audio_data/mp3_data/Know Your Enemy.mp3,Green Day,permanent wavepunk,punk
Welcome to the Black Parade,./audio_data/mp3_data/Welcome to the Black Parade.mp3,My Chemical Romance,emopop punkrock,punk
The Anthem,./audio_data/mp3_data/The Anthem.mp3,Good Charlotte,alternative metalpop punkrock,punk
Kill the DJ,./audio_data/mp3_data/Kill the DJ.mp3,Green Day,permanent wavepunk,punk
1985,./audio_data/mp3_data/1985.mp3,Bowling For Soup,comicpop punkrocktexas pop punk,punk
Blonde,./audio_data/mp3_data/Blonde.mp3,Waterparks,alt zmodern rockneon pop punkpixiepop punkrocksocial media poptexas pop punk,punk
Came Out Swinging,./audio_data/mp3_data/Came Out Swinging.mp3,The Wonder Years,alternative emoanthem emoemophilly indiepop punk,punk
First Date,./audio_data/mp3_data/First Date.mp3,blink-182,pop punkpunkrocksocal pop punk,punk
Crisis,./audio_data/mp3_data/Crisis.mp3,WSTR,anthem emoeasycorepop punkuk pop punk,punk
Girl All the Bad Guys Want,./audio_data/mp3_data/Girl All the Bad Guys Want.mp3,Bowling For Soup,comicpop punkrocktexas pop punk,punk
Can't Keep Waiting,./audio_data/mp3_data/Can't Keep Waiting.mp3,MxPx,christian punkpop punkpunkska punkskate punk,punk
What's My Age Again?,./audio_data/mp3_data/What's My Age Again.mp3,blink-182,pop punkpunkrocksocal pop punk,punk
Hollowed Out,./audio_data/mp3_data/Hollowed Out.mp3,Belmont,alternative emoanthem emochicago pop punkeasycorepop punk,punk
Shut Up!,./audio_data/mp3_data/Shut Up!.mp3,Simple Plan,canadian pop punkcanadian punkcanadian rockpop punk,punk
Girl's Not Grey,./audio_data/mp3_data/Girl's Not Grey.mp3,AFI,pop punkpunkscreamoskate punk,punk
Lifestyles of the Rich & Famous,./audio_data/mp3_data/Lifestyles of the Rich & Famous.mp3,Good Charlotte,alternative metalpop punkrock,punk
What You Make It,./audio_data/mp3_data/What You Make It.mp3,With Confidence,anthem emomodern rockpixiepop punk,punk
If You Say So,./audio_data/mp3_data/If You Say So.mp3,The Dead Love,sydney indie,punk
Ignorance,./audio_data/mp3_data/Ignorance.mp3,Paramore,candy poppixiepop emopop punk,punk
All Star,./audio_data/mp3_data/All Star.mp3,"Chunk! No, Captain Chunk!",anthem emoeasycoremetalcorepop punkpost-screamo,punk
estella//,./audio_data/mp3_data/estella.mp3,KennyHoopla,modern rockpop punk,punk
Little Things,./audio_data/mp3_data/Little Things.mp3,Good Charlotte,alternative metalpop punkrock,punk
"Sugar, We're Goin Down","./audio_data/mp3_data/Sugar, We're Goin Down.mp3",Fall Out Boy,emomodern rockrock,punk
crushcrushcrush,./audio_data/mp3_data/crushcrushcrush.mp3,Paramore,candy poppixiepop emopop punk,punk
I Write Sins Not Tragedies,./audio_data/mp3_data/I Write Sins Not Tragedies.mp3,Panic! At The Disco,modern rock,punk
Pain,./audio_data/mp3_data/Pain.mp3,Jimmy Eat World,alternative rockemomodern power popmodern rockpop punkpop rockrock,punk
Sk8er Boi,./audio_data/mp3_data/Sk8er Boi.mp3,Avril Lavigne,canadian popcandy popdance poppoppost-teen pop,punk
Helena,./audio_data/mp3_data/Helena.mp3,My Chemical Romance,emopop punkrock,punk
Cadillac,./audio_data/mp3_data/Cadillac.mp3,Mest,emopop punkskate punk,punk
Kites,./audio_data/mp3_data/Kites.mp3,Sorry Ghost,baton rouge indie,punk
acting like that (feat. Machine Gun Kelly),./audio_data/mp3_data/acting like that (feat. Machine Gun Kelly).mp3,YUNGBLUD,british indie rockmodern rockpoprock,punk
The Hell Song,./audio_data/mp3_data/The Hell Song.mp3,Sum 41,canadian pop punkcanadian punkpunkrock,punk
Lights And Sounds,./audio_data/mp3_data/Lights And Sounds.mp3,Yellowcard,bow poppop punkpop rockrocksocal pop punk,punk
Los Angeles,./audio_data/mp3_data/Los Angeles.mp3,Sugarcult,emoneon pop punkpop punkpunkscreamoskate punk,punk
Give It Up,./audio_data/mp3_data/Give It Up.mp3,Midtown,emopop punk,punk
weapon,./audio_data/mp3_data/weapon.mp3,Against The Current,neon pop punkpixiepop punk,punk
The Ballad of Mona Lisa,./audio_data/mp3_data/The Ballad of Mona Lisa.mp3,Panic! At The Disco,modern rock,punk
Monsters (feat. blackbear),./audio_data/mp3_data/Monsters (feat. blackbear).mp3,All Time Low,modern rockpop punkrock,punk
Bouncing Off The Walls,./audio_data/mp3_data/Bouncing Off The Walls.mp3,Sugarcult,emoneon pop punkpop punkpunkscreamoskate punk,punk
The Future Freaks Me Out,./audio_data/mp3_data/The Future Freaks Me Out.mp3,Motion City Soundtrack,emopop punk,punk
Chicago Is So Two Years Ago,./audio_data/mp3_data/Chicago Is So Two Years Ago.mp3,Fall Out Boy,emomodern rockrock,punk
bloody valentine,./audio_data/mp3_data/bloody valentine.mp3,Machine Gun Kelly,ohio hip hop,punk
Still Waiting,./audio_data/mp3_data/Still Waiting.mp3,Sum 41,canadian pop punkcanadian punkpunkrock,punk
But It's Better If You Do,./audio_data/mp3_data/But It's Better If You Do.mp3,Panic! At The Disco,modern rock,punk
Dirty Little Secret,./audio_data/mp3_data/Dirty Little Secret.mp3,The All-American Rejects,modern rockpop punkpop rockrock,punk
Something Wonderful,./audio_data/mp3_data/Something Wonderful.mp3,Seaway,alternative emoanthem emocanadian pop punkcanadian punkeasycorepop punk,punk
Go Down in History,./audio_data/mp3_data/Go Down in History.mp3,Four Year Strong,anthem emoeasycoreemonew england emopop punkscreamoworcester ma indie,punk
Bite Me,./audio_data/mp3_data/Bite Me.mp3,Avril Lavigne,canadian popcandy popdance poppoppost-teen pop,punk
In Friends We Trust,./audio_data/mp3_data/In Friends We Trust.mp3,"Chunk! No, Captain Chunk!",anthem emoeasycoremetalcorepop punkpost-screamo,punk
Famous Last Words,./audio_data/mp3_data/Famous Last Words.mp3,My Chemical Romance,emopop punkrock,punk
Anthem Part Two,./audio_data/mp3_data/Anthem Part Two.mp3,blink-182,pop punkpunkrocksocal pop punk,punk
Breathing,./audio_data/mp3_data/Breathing.mp3,Yellowcard,bow poppop punkpop rockrocksocal pop punk,punk
Teenagers,./audio_data/mp3_data/Teenagers.mp3,My Chemical Romance,emopop punkrock,punk
"This Ain't A Scene, It's An Arms Race","./audio_data/mp3_data/This Ain't A Scene, It's An Arms Race.mp3",Fall Out Boy,emomodern rockrock,punk
Miss Murder,./audio_data/mp3_data/Miss Murder.mp3,AFI,pop punkpunkscreamoskate punk,punk
That's What You Get,./audio_data/mp3_data/That's What You Get.mp3,Paramore,candy poppixiepop emopop punk,punk
Stacy's Mom,./audio_data/mp3_data/Stacy's Mom.mp3,Fountains Of Wayne,alternative rockpop rockpower pop,punk
I'm Not Okay (I Promise),./audio_data/mp3_data/I'm Not Okay (I Promise).mp3,My Chemical Romance,emopop punkrock,punk
Monsters,./audio_data/mp3_data/Monsters.mp3,Matchbook Romance,emopop punkpost-hardcorescreamo,punk
Misery Business,./audio_data/mp3_data/Misery Business.mp3,Paramore,candy poppixiepop emopop punk,punk
Face Down,./audio_data/mp3_data/Face Down.mp3,The Red Jumpsuit Apparatus,pop punkpop rockscreamo,punk
"Dance, Dance","./audio_data/mp3_data/Dance, Dance.mp3",Fall Out Boy,emomodern rockrock,punk
I Write Sins Not Tragedies,./audio_data/mp3_data/I Write Sins Not Tragedies.mp3,Panic! At The Disco,modern rock,punk
The Kill,./audio_data/mp3_data/The Kill.mp3,Thirty Seconds To Mars,modern rockpost-grungerock,punk
Fat Lip,./audio_data/mp3_data/Fat Lip.mp3,Sum 41,canadian pop punkcanadian punkpunkrock,punk
"Swing, Swing","./audio_data/mp3_data/Swing, Swing.mp3",The All-American Rejects,modern rockpop punkpop rockrock,punk
Ocean Avenue,./audio_data/mp3_data/Ocean Avenue.mp3,Yellowcard,bow poppop punkpop rockrocksocal pop punk,punk
The Great Escape,./audio_data/mp3_data/The Great Escape.mp3,Boys Like Girls,neo mellowneon pop punkpop punkpop rockpost-teen pop,punk
Self Esteem,./audio_data/mp3_data/Self Esteem.mp3,The Offspring,alternative metalpermanent wavepunkrockskate punksocal pop punk,punk
My Own Worst Enemy,./audio_data/mp3_data/My Own Worst Enemy.mp3,Lit,pop punkpop rocksocal pop punk,punk
F.C.P.R.E.M.I.X.,./audio_data/mp3_data/F.C.P.R.E.M.I.X..mp3,The Fall of Troy,post-hardcoreprogressive post-hardcorescreamoswancore,punk
In Too Deep,./audio_data/mp3_data/In Too Deep.mp3,Sum 41,canadian pop punkcanadian punkpunkrock,punk
The Anthem,./audio_data/mp3_data/The Anthem.mp3,Good Charlotte,alternative metalpop punkrock,punk
"You're Gonna Go Far, Kid","./audio_data/mp3_data/You're Gonna Go Far, Kid.mp3",The Offspring,alternative metalpermanent wavepunkrockskate punksocal pop punk,punk
What's My Age Again?,./audio_data/mp3_data/What's My Age Again.mp3,blink-182,pop punkpunkrocksocal pop punk,punk
Girl All the Bad Guys Want,./audio_data/mp3_data/Girl All the Bad Guys Want.mp3,Bowling For Soup,comicpop punkrocktexas pop punk,punk
I'm Just a Kid,./audio_data/mp3_data/I'm Just a Kid.mp3,Simple Plan,canadian pop punkcanadian punkcanadian rockpop punk,punk
Right Now,./audio_data/mp3_data/Right Now.mp3,SR-71,pop punkpunk,punk
Girl's Not Grey,./audio_data/mp3_data/Girl's Not Grey.mp3,AFI,pop punkpunkscreamoskate punk,punk
"Sugar, We're Goin Down","./audio_data/mp3_data/Sugar, We're Goin Down.mp3",Fall Out Boy,emomodern rockrock,punk
Stupid Kid,./audio_data/mp3_data/Stupid Kid.mp3,Alkaline Trio,chicago punkemopop punkpunkscreamoskate punk,punk
Little Things,./audio_data/mp3_data/Little Things.mp3,Good Charlotte,alternative metalpop punkrock,punk
Sweetness,./audio_data/mp3_data/Sweetness.mp3,Jimmy Eat World,alternative rockemomodern power popmodern rockpop punkpop rockrock,punk
Helena,./audio_data/mp3_data/Helena.mp3,My Chemical Romance,emopop punkrock,punk
Can You Feel My Heart,./audio_data/mp3_data/Can You Feel My Heart.mp3,Bring Me The Horizon,melodic metalcoremetalcorerockuk metalcore,punk
I Let Go,./audio_data/mp3_data/I Let Go.mp3,Eighteen Visions,melodic metalcoremetalcore,punk
Rookie Of The Year,./audio_data/mp3_data/Rookie Of The Year.mp3,Funeral For A Friend,post-hardcorescreamouk post-hardcore,punk
Thnks fr th Mmrs,./audio_data/mp3_data/Thnks fr th Mmrs.mp3,Fall Out Boy,emomodern rockrock,punk
Give It Up,./audio_data/mp3_data/Give It Up.mp3,Midtown,emopop punk,punk
"I'm a Loner Dottie, a Rebel","./audio_data/mp3_data/I'm a Loner Dottie, a Rebel.mp3",The Get Up Kids,emoemo punkindie rockkc indiemidwest emopop punkpost-hardcore,punk
Punk Rock Princess,./audio_data/mp3_data/Punk Rock Princess.mp3,Something Corporate,emopiano rockpop punk,punk
Welcome Home,./audio_data/mp3_data/Welcome Home.mp3,Coheed and Cambria,alternative metalemopop punkscreamo,punk
When Your Heart Stops Beating,./audio_data/mp3_data/When Your Heart Stops Beating.mp3,+44,pop punkpunkskate punk,punk
Dirty Little Secret,./audio_data/mp3_data/Dirty Little Secret.mp3,The All-American Rejects,modern rockpop punkpop rockrock,punk
Famous Last Words,./audio_data/mp3_data/Famous Last Words.mp3,My Chemical Romance,emopop punkrock,punk
Stand Up,./audio_data/mp3_data/Stand Up.mp3,A Static Lullaby,melodic metalcorepost-hardcorescreamo,punk
You And I,./audio_data/mp3_data/You And I.mp3,Anarbor,modern rockneon pop punkpop emopop punkrock,punk
Savior,./audio_data/mp3_data/Savior.mp3,Rise Against,chicago hardcorechicago punkhardcore punkpunk,punk
Blitzkrieg Bop - 2016 Remaster,./audio_data/mp3_data/Blitzkrieg Bop - 2016 Remaster.mp3,Ramones,classic rockearly us punkpermanent wavepunkrockskate punk,punk
Come Out and Play,./audio_data/mp3_data/Come Out and Play.mp3,The Offspring,alternative metalpermanent wavepunkrockskate punksocal pop punk,punk
American Idiot,./audio_data/mp3_data/American Idiot.mp3,Green Day,permanent wavepunk,punk
Teenagers,./audio_data/mp3_data/Teenagers.mp3,My Chemical Romance,emopop punkrock,punk
Scotty Doesn't Know,./audio_data/mp3_data/Scotty Doesn't Know.mp3,Lustra,,punk
