song,path_to_wav,artist,artist_genre,genre
I’m Tired (with Zendaya) - Bonus Track,./audio_data/mp3_data/I’m Tired (with Zendaya) - Bonus Track.mp3,Labrinth,indie poptimismpop,pop
First Class,./audio_data/mp3_data/First Class.mp3,Jack Harlow,deep underground hip hopkentucky hip hoprap,pop
As It Was,./audio_data/mp3_data/As It Was.mp3,Harry Styles,pop,pop
Big Energy,./audio_data/mp3_data/Big Energy.mp3,Latto,popr&btrap queen,pop
The Motto,./audio_data/mp3_data/The Motto.mp3,Tiësto,big roombrostepdance popdutch edmedmhousepoppop danceslap housetrancetropical house,pop
Heat Waves,./audio_data/mp3_data/Heat Waves.mp3,Glass Animals,gauze popindietronicashiver pop,pop
Bam Bam (feat. Ed Sheeran),./audio_data/mp3_data/Bam Bam (feat. Ed Sheeran).mp3,Camila Cabello,dance poppoppost-teen pop,pop
Enemy (with JID) - from the series Arcane League of Legends,./audio_data/mp3_data/Enemy (with JID) - from the series Arcane League of Legends.mp3,Imagine Dragons,modern rockrock,pop
Woman,./audio_data/mp3_data/Woman.mp3,Doja Cat,dance poppop,pop
Thousand Miles,./audio_data/mp3_data/Thousand Miles.mp3,The Kid LAROI,australian hip hop,pop
Drunk (And I Don't Wanna Go Home),./audio_data/mp3_data/Drunk (And I Don't Wanna Go Home).mp3,Elle King,modern blues rock,pop
Flowers,./audio_data/mp3_data/Flowers.mp3,Lauren Spencer-Smith,alt zgen z singer-songwriterpop,pop
Freaky Deaky,./audio_data/mp3_data/Freaky Deaky.mp3,Tyga,dance pophip hoppop raprapsouthern hip hoptrap,pop
THATS WHAT I WANT,./audio_data/mp3_data/THATS WHAT I WANT.mp3,Lil Nas X,lgbtq+ hip hoppop,pop
Ghost,./audio_data/mp3_data/Ghost.mp3,Justin Bieber,canadian poppop,pop
About Damn Time,./audio_data/mp3_data/About Damn Time.mp3,Lizzo,dance popescape roomminnesota hip hoppoptrap queen,pop
Sweetest Pie,./audio_data/mp3_data/Sweetest Pie.mp3,Megan Thee Stallion,dance pophouston rappoptrap queen,pop
When You're Gone,./audio_data/mp3_data/When You're Gone.mp3,Shawn Mendes,canadian popdance poppopviral pop,pop
Light Switch,./audio_data/mp3_data/Light Switch.mp3,Charlie Puth,dance poppopviral pop,pop
Numb Little Bug,./audio_data/mp3_data/Numb Little Bug.mp3,Em Beihold,alt zgen z singer-songwriter,pop
chaotic,./audio_data/mp3_data/chaotic.mp3,Tate McRae,pop,pop
HANDSOMER (Remix) (Feat. Ktlyn),./audio_data/mp3_data/HANDSOMER (Remix) (Feat. Ktlyn).mp3,Russ,hawaiian hip hoprap,pop
good 4 u,./audio_data/mp3_data/good 4 u.mp3,Olivia Rodrigo,pop,pop
STAY (with Justin Bieber),./audio_data/mp3_data/STAY (with Justin Bieber).mp3,The Kid LAROI,australian hip hop,pop
Wait a Minute!,./audio_data/mp3_data/Wait a Minute!.mp3,WILLOW,afrofuturismdance popelectropoppoppost-teen pop,pop
Happier Than Ever - Edit,./audio_data/mp3_data/Happier Than Ever - Edit.mp3,Billie Eilish,art popelectropoppop,pop
INDUSTRY BABY (feat. Jack Harlow),./audio_data/mp3_data/INDUSTRY BABY (feat. Jack Harlow).mp3,Lil Nas X,lgbtq+ hip hoppop,pop
Plan B,./audio_data/mp3_data/Plan B.mp3,Megan Thee Stallion,dance pophouston rappoptrap queen,pop
Leave The Door Open,./audio_data/mp3_data/Leave The Door Open.mp3,Bruno Mars,dance poppop,pop
Need to Know,./audio_data/mp3_data/Need to Know.mp3,Doja Cat,dance poppop,pop
Cold Heart - PNAU Remix,./audio_data/mp3_data/Cold Heart - PNAU Remix.mp3,Elton John,glam rockmellow goldpiano rock,pop
One Right Now (with The Weeknd),./audio_data/mp3_data/One Right Now (with The Weeknd).mp3,Post Malone,dfw rapmelodic raprap,pop
abcdefu,./audio_data/mp3_data/abcdefu.mp3,GAYLE,modern alternative pop,pop
Birthday Cake,./audio_data/mp3_data/Birthday Cake.mp3,Dylan Conrique,alt zsocial media pop,pop
Lost,./audio_data/mp3_data/Lost.mp3,Frank Ocean,alternative r&bhip hoplgbtq+ hip hopneo soulpop,pop
Dancing Feet (feat. DNCE),./audio_data/mp3_data/Dancing Feet (feat. DNCE).mp3,Kygo,edmpoppop dancetropical house,pop
I Hate U,./audio_data/mp3_data/I Hate U.mp3,SZA,popr&b,pop
Boyfriend,./audio_data/mp3_data/Boyfriend.mp3,Dove Cameron,poppost-teen pop,pop
Right On,./audio_data/mp3_data/Right On.mp3,Lil Baby,atl hip hopatl trapraptrap,pop
make up sex (feat. blackbear),./audio_data/mp3_data/make up sex (feat. blackbear).mp3,Machine Gun Kelly,ohio hip hoppop rap,pop
10 Things I Hate About You,./audio_data/mp3_data/10 Things I Hate About You.mp3,Leah Kate,alt zpopsocial media pop,pop
MIDDLE OF THE NIGHT,./audio_data/mp3_data/MIDDLE OF THE NIGHT.mp3,Elley Duhé,alt zpop,pop
In My Head,./audio_data/mp3_data/In My Head.mp3,Lil Tjay,brooklyn drillmelodic rapnyc rap,pop
Pepas,./audio_data/mp3_data/Pepas.mp3,Farruko,latinlatin hip hopreggaetontrap latino,pop
Better Days (NEIKED x Mae Muller x Polo G),./audio_data/mp3_data/Better Days (NEIKED x Mae Muller x Polo G).mp3,NEIKED,scandipop,pop
Nail Tech,./audio_data/mp3_data/Nail Tech.mp3,Jack Harlow,deep underground hip hopkentucky hip hoprap,pop
I Love You So,./audio_data/mp3_data/I Love You So.mp3,The Walters,chicago indie,pop
Bones,./audio_data/mp3_data/Bones.mp3,Imagine Dragons,modern rockrock,pop
she's all i wanna be,./audio_data/mp3_data/she's all i wanna be.mp3,Tate McRae,pop,pop
Super Gremlin,./audio_data/mp3_data/Super Gremlin.mp3,Kodak Black,florida raphip hopmelodic rapmiami hip hopraptrap,pop
Thousand Miles,./audio_data/mp3_data/Thousand Miles.mp3,The Kid LAROI,australian hip hop,pop
Scrape It Off (feat. Lil Uzi Vert & Don Toliver),./audio_data/mp3_data/Scrape It Off (feat. Lil Uzi Vert & Don Toliver).mp3,Pusha T,alternative hip hopgangster raphip hoppop raprapsouthern hip hoptrapunderground hip hopvirginia hip hop,pop
Plan B,./audio_data/mp3_data/Plan B.mp3,Megan Thee Stallion,dance pophouston rappoptrap queen,pop
Where you are (feat. WILLOW),./audio_data/mp3_data/Where you are (feat. WILLOW).mp3,PinkPantheress,russian plugg,pop
PROVENZA,./audio_data/mp3_data/PROVENZA.mp3,KAROL G,latinreggaetonreggaeton colombianotrap latino,pop
Hold That Heat (feat. Travis Scott),./audio_data/mp3_data/Hold That Heat (feat. Travis Scott).mp3,Southside,atl hip hop,pop
Please Do Not Lean (feat. BADBADNOTGOOD),./audio_data/mp3_data/Please Do Not Lean (feat. BADBADNOTGOOD).mp3,Daniel Caesar,canadian contemporary r&bpopr&b,pop
Skin and Bones,./audio_data/mp3_data/Skin and Bones.mp3,070 Shake,alternative r&bnew jersey rap,pop
Skeletons (Lexi Needed a Break),./audio_data/mp3_data/Skeletons (Lexi Needed a Break).mp3,Labrinth,indie poptimismpop,pop
Free,./audio_data/mp3_data/Free.mp3,Florence + The Machine,baroque poppopuk alternative pop,pop
Riptide,./audio_data/mp3_data/Riptide.mp3,The Chainsmokers,dance popedmelectropoppoppop dancetropical house,pop
2step (feat. Lil Baby),./audio_data/mp3_data/2step (feat. Lil Baby).mp3,Ed Sheeran,popuk pop,pop
Ain't Enough Cowboy,./audio_data/mp3_data/Ain't Enough Cowboy.mp3,Jason Aldean,contemporary countrycountrycountry road,pop
Every Good Girl,./audio_data/mp3_data/Every Good Girl.mp3,Blxst,pop rap,pop
Lights Off (feat. Gunna & Lil Durk),./audio_data/mp3_data/Lights Off (feat. Gunna & Lil Durk).mp3,Tay Keith,memphis hip hop,pop
Dejalo Ir,./audio_data/mp3_data/Dejalo Ir.mp3,Yahritza Y Su Esencia,,pop
Words (feat. Zara Larsson),./audio_data/mp3_data/Words (feat. Zara Larsson).mp3,Alesso,dance popedmelectro housepoppop danceprogressive electro housetropical house,pop
UH OH! (feat. BENEE),./audio_data/mp3_data/UH OH! (feat. BENEE).mp3,Sub Urban,modern indie popmodern rock,pop
help,./audio_data/mp3_data/help.mp3,Isabel LaRosa,hyperpop,pop
Voodoo (with J Balvin & Tainy),./audio_data/mp3_data/Voodoo (with J Balvin & Tainy).mp3,Badshah,desi hip hopdesi popdesi trapharyanvi popmodern bollywood,pop
Tomorrow Me,./audio_data/mp3_data/Tomorrow Me.mp3,Luke Combs,contemporary countrycountrycountry road,pop
Green Green Grass,./audio_data/mp3_data/Green Green Grass.mp3,George Ezra,folk-popmodern rockneo-singer-songwriterpoppop rock,pop
Te Felicito,./audio_data/mp3_data/Te Felicito.mp3,Shakira,colombian popdance poplatinlatin poppop,pop
Tetris,./audio_data/mp3_data/Tetris.mp3,Logic,conscious hip hopdmv raphip hoppop raprap,pop
THE_EVIL_THAT_MEN_DO,./audio_data/mp3_data/THE_EVIL_THAT_MEN_DO.mp3,$uicideboy$,dark trapnew orleans rapunderground hip hop,pop
Talk (with Royal & The Serpent),./audio_data/mp3_data/Talk (with Royal & The Serpent).mp3,Louis The Child,edmelectropoppoppop dancetropical house,pop
Something in the Orange,./audio_data/mp3_data/Something in the Orange.mp3,Zach Bryan,oklahoma country,pop
Look at it in the Light,./audio_data/mp3_data/Look at it in the Light.mp3,Kate Bollinger,charlottesville indieindie pop,pop
NO MIENTEN,./audio_data/mp3_data/NO MIENTEN.mp3,Becky G,dance poplatinlatin poplatin viral poppoprap latinareggaeton,pop
Brazy (with YNW Melly),./audio_data/mp3_data/Brazy (with YNW Melly).mp3,Fredo Bang,baton rouge rappop rapsouthern hip hoptrap,pop
Slut Me Out,./audio_data/mp3_data/Slut Me Out.mp3,NLE Choppa,memphis hip hop,pop
Favorite Peeps,./audio_data/mp3_data/Favorite Peeps.mp3,Prateek Kuhad,desi popfolk-pophindi indieindian indieindian singer-songwriter,pop
Bad Life,./audio_data/mp3_data/Bad Life.mp3,Sigrid,dance popnorwegian poppop,pop
Mama Said,./audio_data/mp3_data/Mama Said.mp3,Bow Anderson,,pop
Best Lover,./audio_data/mp3_data/Best Lover.mp3,88rising,asian american hip hoppop,pop
Save The Day (feat. Kodak Black),./audio_data/mp3_data/Save The Day (feat. Kodak Black).mp3,NoCap,alabama rapatl trap,pop
H Spot (with Yo Gotti),./audio_data/mp3_data/H Spot (with Yo Gotti).mp3,Lil Poppa,florida rap,pop
HIGHWAY TO YOUR HEART,./audio_data/mp3_data/HIGHWAY TO YOUR HEART.mp3,Lykke Li,art popelectropoppopswedish electropopswedish indie popswedish pop,pop
SAVE ME,./audio_data/mp3_data/SAVE ME.mp3,SEB,,pop
someone will love you better,./audio_data/mp3_data/someone will love you better.mp3,Johnny Orlando,canadian poppopsocial media pop,pop
You Ruined Nirvana,./audio_data/mp3_data/You Ruined Nirvana.mp3,Mckenna Grace,,pop
Songs About You,./audio_data/mp3_data/Songs About You.mp3,Brett Eldredge,adult standardscontemporary countrycountrycountry roadmodern country rock,pop
Walk On Water,./audio_data/mp3_data/Walk On Water.mp3,SLANDER,dubstepedmpop dance,pop
pg baby,./audio_data/mp3_data/pg baby.mp3,redveil,indie hip hop,pop
ignorance is bliss,./audio_data/mp3_data/ignorance is bliss.mp3,aldn,glitchcorehyperpop,pop
Love Like That (Words from Her),./audio_data/mp3_data/Love Like That (Words from Her).mp3,Suriel Hess,,pop
American Teenager,./audio_data/mp3_data/American Teenager.mp3,Ethel Cain,art popindie popmodern dream pop,pop
24 Hours,./audio_data/mp3_data/24 Hours.mp3,Fresco Trey,memphis hip hoppop rap,pop
Pop Out,./audio_data/mp3_data/Pop Out.mp3,Erica Banks,trap queen,pop
Vaderz (feat. Bktherula),./audio_data/mp3_data/Vaderz (feat. Bktherula).mp3,Rico Nasty,dance popdmv rapescape roompoptrap queen,pop
BEESWAX,./audio_data/mp3_data/BEESWAX.mp3,easy life,leicester indiemodern indie pop,pop
News At 9,./audio_data/mp3_data/News At 9.mp3,Peter McPoland,indie pop,pop
Math,./audio_data/mp3_data/Math.mp3,Sara Kays,alt zgen z singer-songwritermodern indie poppop,pop
Anywhere,./audio_data/mp3_data/Anywhere.mp3,Madison Cunningham,indie folkpop folk,pop
Crazy Angels,./audio_data/mp3_data/Crazy Angels.mp3,Carrie Underwood,contemporary countrycountrycountry dawnoklahoma countrypost-teen pop,pop
Be Like Water (feat. Stevie Wonder & Nas),./audio_data/mp3_data/Be Like Water (feat. Stevie Wonder & Nas).mp3,PJ Morton,neo soulr&burban contemporary,pop
What A Lie,./audio_data/mp3_data/What A Lie.mp3,Justine Skye,alternative r&bchill r&bpoppop r&bpost-teen popr&burban contemporary,pop
Ice Cream Dream (feat. French Montana),./audio_data/mp3_data/Ice Cream Dream (feat. French Montana).mp3,DreamDoll,hip poppop r&btrap queen,pop
words,./audio_data/mp3_data/words.mp3,piri,,pop
freak,./audio_data/mp3_data/freak.mp3,Blessing,,pop
Could I Be Somebody,./audio_data/mp3_data/Could I Be Somebody.mp3,rei brown,sad lo-fi,pop
Dinner Table,./audio_data/mp3_data/Dinner Table.mp3,Nina Nesbitt,alt zdance popelectropopindie poptimismneo-singer-songwriterpoppop rockpost-teen popuk popviral pop,pop
This Happiness,./audio_data/mp3_data/This Happiness.mp3,Of Monsters and Men,folk-popmetropopolismodern rockpop rockstomp and holler,pop
Better in the Shade,./audio_data/mp3_data/Better in the Shade.mp3,Patrick Watson,,pop
Roman Holiday,./audio_data/mp3_data/Roman Holiday.mp3,Fontaines D.C.,indie rockirish indie rockmodern alternative rockmodern rock,pop
Kick Back (feat. Matt and Kim),./audio_data/mp3_data/Kick Back (feat. Matt and Kim).mp3,Taylor Bennett,chicago rapdrilllgbtq+ hip hop,pop
AIGHT (feat. Shelley FKA DRAM),./audio_data/mp3_data/AIGHT (feat. Shelley FKA DRAM).mp3,WESTSIDE BOOGIE,underground hip hop,pop
BBB (Bad Bitch Behavior),./audio_data/mp3_data/BBB (Bad Bitch Behavior).mp3,Tay Money,dfw raptrap queen,pop
New 50's,./audio_data/mp3_data/New 50's.mp3,GMK,florida rap,pop
"Lover, You Don't Know Me","./audio_data/mp3_data/Lover, You Don't Know Me.mp3",TATYANA,,pop
parasite,./audio_data/mp3_data/parasite.mp3,mehro,gen z singer-songwriter,pop
die with my friends,./audio_data/mp3_data/die with my friends.mp3,Lindsey Lomis,nashville singer-songwriter,pop
When You Need It (feat. Wrabel),./audio_data/mp3_data/When You Need It (feat. Wrabel).mp3,Tenille Townes,alberta countrycontemporary countrycountrycountry pop,pop
Clandestina - Spotify Singles,./audio_data/mp3_data/Clandestina - Spotify Singles.mp3,Silvana Estrada,jazz mexicanomexican indienuevo folklore mexicanoveracruz indie,pop
GAZ,./audio_data/mp3_data/GAZ.mp3,NAVA,milan indie,pop
This Feeling,./audio_data/mp3_data/This Feeling.mp3,Vintage Culture,brazilian edm,pop
Gas Station,./audio_data/mp3_data/Gas Station.mp3,TiaCorine,trap queen,pop
Guess What (feat. SSGKobe),./audio_data/mp3_data/Guess What (feat. SSGKobe).mp3,Sonny Digital,atl hip hop,pop
Soy Yo,./audio_data/mp3_data/Soy Yo.mp3,Don Omar,latinlatin hip hoppuerto rican popreggaetontrap latino,pop
4U,./audio_data/mp3_data/4U.mp3,Ofenbach,dance popedmelectro housepoppop dancetropical house,pop
Need Me,./audio_data/mp3_data/Need Me.mp3,Lorelei Marcell,,pop
The Rhythm,./audio_data/mp3_data/The Rhythm.mp3,Hatchie,brisbane indieelectropopindie pop,pop
Everything I Know About Love,./audio_data/mp3_data/Everything I Know About Love.mp3,Laufey,gen z singer-songwriterindie pop,pop
U.D.I.D,./audio_data/mp3_data/U.D.I.D.mp3,Lou Roy,,pop
M.I.A.,./audio_data/mp3_data/M.I.A..mp3,Ravyn Lenae,alternative r&bchill r&bescape roomindie r&bindie soulneo soulr&b,pop
Let Me In,./audio_data/mp3_data/Let Me In.mp3,BRS Kash,,pop
Kepler-22b,./audio_data/mp3_data/Kepler-22b.mp3,King Gizzard & The Lizard Wizard,australian indieaustralian psychdouble drummingmicrotonalneo-psychedelic,pop
Hard Working Man,./audio_data/mp3_data/Hard Working Man.mp3,Marcus King,modern blues rock,pop
antidote,./audio_data/mp3_data/antidote.mp3,Oliver Keane,,pop
Milk & Honey,./audio_data/mp3_data/Milk & Honey.mp3,Danielle Apicella,christian hip hopchristian trap,pop
New Feeling,./audio_data/mp3_data/New Feeling.mp3,NO1-NOAH,trap soul,pop
Keep Dancing,./audio_data/mp3_data/Keep Dancing.mp3,Jades Goudreault,alt zindie electropopla pop,pop
Other Side of the World,./audio_data/mp3_data/Other Side of the World.mp3,Alyssa Bonagura,,pop
Mamas (with Hillary Scott),./audio_data/mp3_data/Mamas (with Hillary Scott).mp3,Anne Wilson,ccm,pop
Used To Be A Mountain,./audio_data/mp3_data/Used To Be A Mountain.mp3,Old Crow Medicine Show,bluegrassfolkindie folkmodern old-timenew americanaold-timeprogressive bluegrassroots rockstomp and holler,pop
Aguardiente,./audio_data/mp3_data/Aguardiente.mp3,Christian Nodal,mariachimusica mexicananueva musica mexicanaranchera,pop
dog days,./audio_data/mp3_data/dog days.mp3,Godly the Ruler,,pop
HAND ME DOWN,./audio_data/mp3_data/HAND ME DOWN.mp3,sticktype,,pop
Born or Made,./audio_data/mp3_data/Born or Made.mp3,Forrest Isn't Dead,,pop
Thousand Miles,./audio_data/mp3_data/Thousand Miles.mp3,The Kid LAROI,australian hip hop,pop
Riptide,./audio_data/mp3_data/Riptide.mp3,The Chainsmokers,dance popedmelectropoppoppop dancetropical house,pop
As It Was,./audio_data/mp3_data/As It Was.mp3,Harry Styles,pop,pop
About Damn Time,./audio_data/mp3_data/About Damn Time.mp3,Lizzo,dance popescape roomminnesota hip hoppoptrap queen,pop
That's Hilarious,./audio_data/mp3_data/That's Hilarious.mp3,Charlie Puth,dance poppopviral pop,pop
2step (feat. Lil Baby),./audio_data/mp3_data/2step (feat. Lil Baby).mp3,Ed Sheeran,popuk pop,pop
First Class,./audio_data/mp3_data/First Class.mp3,Jack Harlow,deep underground hip hopkentucky hip hoprap,pop
Heaven Takes You Home (feat. Connie Constance),./audio_data/mp3_data/Heaven Takes You Home (feat. Connie Constance).mp3,Swedish House Mafia,edmelectro housepoppop danceprogressive electro house,pop
Skeletons (Lexi Needed a Break),./audio_data/mp3_data/Skeletons (Lexi Needed a Break).mp3,Labrinth,indie poptimismpop,pop
psychofreak (feat. WILLOW),./audio_data/mp3_data/psychofreak (feat. WILLOW).mp3,Camila Cabello,dance poppoppost-teen pop,pop
Let Me Down Easy (Lie),./audio_data/mp3_data/Let Me Down Easy (Lie).mp3,Why Don't We,boy banddance popelectropoppoppost-teen popteen pop,pop
Flowers,./audio_data/mp3_data/Flowers.mp3,Lauren Spencer-Smith,alt zgen z singer-songwriterpop,pop
Sunroof,./audio_data/mp3_data/Sunroof.mp3,Nicky Youre,,pop
Where you are (feat. WILLOW),./audio_data/mp3_data/Where you are (feat. WILLOW).mp3,PinkPantheress,russian plugg,pop
Memories,./audio_data/mp3_data/Memories.mp3,Conan Gray,bedroom poppop,pop
All 4 Nothing (I'm So In Love),./audio_data/mp3_data/All 4 Nothing (I'm So In Love).mp3,Lauv,dance popelectropoppop,pop
When You're Gone,./audio_data/mp3_data/When You're Gone.mp3,Shawn Mendes,canadian popdance poppopviral pop,pop
You Were Loved (with OneRepublic),./audio_data/mp3_data/You Were Loved (with OneRepublic).mp3,Gryffin,dance popedmelectro housepoppop dancetropical house,pop
Words (feat. Zara Larsson),./audio_data/mp3_data/Words (feat. Zara Larsson).mp3,Alesso,dance popedmelectro housepoppop danceprogressive electro housetropical house,pop
Big Energy (feat. DJ Khaled) - Remix,./audio_data/mp3_data/Big Energy (feat. DJ Khaled) - Remix.mp3,Latto,popr&btrap queen,pop
Finesse,./audio_data/mp3_data/Finesse.mp3,Pheelz,afro dancehallafropopnigerian pop,pop
Angel Baby,./audio_data/mp3_data/Angel Baby.mp3,Troye Sivan,australian popdance popelectropoppopviral pop,pop
chaotic,./audio_data/mp3_data/chaotic.mp3,Tate McRae,pop,pop
sun and moon,./audio_data/mp3_data/sun and moon.mp3,anees,,pop
Take My Hand,./audio_data/mp3_data/Take My Hand.mp3,5 Seconds of Summer,boy banddance poppoppost-teen pop,pop
PROVENZA,./audio_data/mp3_data/PROVENZA.mp3,KAROL G,latinreggaetonreggaeton colombianotrap latino,pop
Bam Bam (feat. Ed Sheeran),./audio_data/mp3_data/Bam Bam (feat. Ed Sheeran).mp3,Camila Cabello,dance poppoppost-teen pop,pop
Crazy What Love Can Do,./audio_data/mp3_data/Crazy What Love Can Do.mp3,David Guetta,big roomdance popedmpoppop dancepop rap,pop
Plan B,./audio_data/mp3_data/Plan B.mp3,Megan Thee Stallion,dance pophouston rappoptrap queen,pop
up at night (feat. justin bieber),./audio_data/mp3_data/up at night (feat. justin bieber).mp3,Kehlani,dance poppoppop rapr&b,pop
Last Call,./audio_data/mp3_data/Last Call.mp3,Khalid,poppop r&b,pop
Speakers,./audio_data/mp3_data/Speakers.mp3,Alec Benjamin,alt zdream smpelectropoppop,pop
Green Green Grass,./audio_data/mp3_data/Green Green Grass.mp3,George Ezra,folk-popmodern rockneo-singer-songwriterpoppop rock,pop
she's all i wanna be,./audio_data/mp3_data/she's all i wanna be.mp3,Tate McRae,pop,pop
Wait a Minute!,./audio_data/mp3_data/Wait a Minute!.mp3,WILLOW,afrofuturismdance popelectropoppoppost-teen pop,pop
iPad,./audio_data/mp3_data/iPad.mp3,The Chainsmokers,dance popedmelectropoppoppop dancetropical house,pop
Talk (with Royal & The Serpent),./audio_data/mp3_data/Talk (with Royal & The Serpent).mp3,Louis The Child,edmelectropoppoppop dancetropical house,pop
neverletyougo,./audio_data/mp3_data/neverletyougo.mp3,ROLE MODEL,bedroom poppop,pop
Treat Me,./audio_data/mp3_data/Treat Me.mp3,Chlöe,,pop
In My Head (feat. Travis Barker),./audio_data/mp3_data/In My Head (feat. Travis Barker).mp3,24kGoldn,cali rappop rap,pop
I Can't Help But Feel,./audio_data/mp3_data/I Can't Help But Feel.mp3,Surfaces,bedroom soulpop,pop
Tom's Diner,./audio_data/mp3_data/Tom's Diner.mp3,AnnenMayKantereit,cologne indiegerman singer-songwriter,pop
That's Where I Am,./audio_data/mp3_data/That's Where I Am.mp3,Maggie Rogers,indie poppop,pop
