song,path_to_wav,artist,artist_genre,genre
push it,./audio_data/metal_mp3/push it.mp3,Static-X,alternative metalgroove metalindustrial metalindustrial rocknu metalrap metalrap rock,metal
panic attack,./audio_data/metal_mp3/panic attack.mp3,Dream Theater,neo classical metalprogressive metal,metal
"deceiver, deceiver","./audio_data/metal_mp3/deceiver, deceiver.mp3",Arch Enemy,alternative metaldeath metalmelodic death metalmetalnu metalpower metalswedish death metalswedish melodeathswedish metal,metal
iou,./audio_data/metal_mp3/iou.mp3,Five Finger Death Punch,alternative metalgroove metalnu metal,metal
into the black,./audio_data/metal_mp3/into the black.mp3,Lords of Black,melodic metalsymphonic power metal,metal
breaking the law,./audio_data/metal_mp3/breaking the law.mp3,Judas Priest,album rockbirmingham metalglam metalhard rockmetalpower metalrock,metal
chøke øn the ashes øf yøur hate,./audio_data/metal_mp3/chøke øn the ashes øf yøur hate.mp3,Machine Head,alternative metalgroove metalhard rockindustrial metalmelodic groove metalmelodic metalcoremetalnu metalprogressive groove metalrap rockrock,metal
midnight sun,./audio_data/metal_mp3/midnight sun.mp3,Kreator,death metalgerman metalgerman thrash metalhard rockmelodic thrashmetalold school thrashpower metalspeed metalthrash metal,metal
am i evil?,./audio_data/metal_mp3/am i evil.mp3,Diamond Head,hard rockmetalnwobhmspeed metalthrash metal,metal
venerate me,./audio_data/metal_mp3/venerate me.mp3,HammerFall,gothenburg metalhard rockmelodic metalmetalneo classical metalpower metalswedish power metal,metal
chains of fury,./audio_data/metal_mp3/chains of fury.mp3,Manimal,melodic metalneo-trad metalpower metalsymphonic power metal,metal
slaughterhouse (feat. bryan garris of knocked loose),./audio_data/metal_mp3/slaughterhouse (feat. bryan garris of knocked loose).mp3,Motionless In White,alternative metalmetalcore,metal
separate ways,./audio_data/metal_mp3/separate ways.mp3,Eva Under Fire,pixieslayer,metal
övergivenheten - single edit,./audio_data/metal_mp3/övergivenheten - single edit.mp3,Soilwork,alternative metalmelodic death metalmelodic groove metalmelodic metalcoremetalmetalcorenu metalswedish death metalswedish melodeathswedish metal,metal
symphony of destruction,./audio_data/metal_mp3/symphony of destruction.mp3,Megadeth,album rockalternative metalhard rockmelodic thrashmetalold school thrashrockspeed metalthrash metal,metal
uranus (feat. michael starr),./audio_data/metal_mp3/uranus (feat. michael starr).mp3,NanowaR of Steel,comic metalitalian metalpower metal,metal
painkiller,./audio_data/metal_mp3/painkiller.mp3,Judas Priest,album rockbirmingham metalglam metalhard rockmetalpower metalrock,metal
it’s electric,./audio_data/metal_mp3/it’s electric.mp3,Diamond Head,hard rockmetalnwobhmspeed metalthrash metal,metal
who am i?,./audio_data/metal_mp3/who am i.mp3,DAMPF,,metal
holy wars...the punishment due - remastered,./audio_data/metal_mp3/holy wars...the punishment due - remastered.mp3,Megadeth,album rockalternative metalhard rockmelodic thrashmetalold school thrashrockspeed metalthrash metal,metal
hellfire thunderbolt,./audio_data/metal_mp3/hellfire thunderbolt.mp3,KK's Priest,metal,metal
beast of gévaudan,./audio_data/metal_mp3/beast of gévaudan.mp3,Powerwolf,german metalgerman power metalmetalpower metal,metal
walk,./audio_data/metal_mp3/walk.mp3,Pantera,alternative metalgroove metalhard rockmetalnu metalold school thrashrocktexas metal,metal
steel commanders,./audio_data/metal_mp3/steel commanders.mp3,Sabaton,metalpower metalswedish metalswedish power metal,metal
the circle of five,./audio_data/metal_mp3/the circle of five.mp3,Burning Witches,melodic metalslayerswiss metal,metal
hardcore,./audio_data/metal_mp3/hardcore.mp3,Beast In Black,finnish heavy metalfinnish power metalmelodic metalpower metal,metal
keeping me alive,./audio_data/metal_mp3/keeping me alive.mp3,Tygers Of Pan Tang,album rockhard rockmetalmodern hard rocknwobhm,metal
sainted by the storm,./audio_data/metal_mp3/sainted by the storm.mp3,Powerwolf,german metalgerman power metalmetalpower metal,metal
push,./audio_data/metal_mp3/push.mp3,Dio,album rockglam metalhard rockmetalpower metalrock,metal
from hell with love,./audio_data/metal_mp3/from hell with love.mp3,Beast In Black,finnish heavy metalfinnish power metalmelodic metalpower metal,metal
werewolves of armenia - rerecorded version,./audio_data/metal_mp3/werewolves of armenia - rerecorded version.mp3,Powerwolf,german metalgerman power metalmetalpower metal,metal
psycho thrilling,./audio_data/metal_mp3/psycho thrilling.mp3,Sister,sleaze rock,metal
the unkillable soldier,./audio_data/metal_mp3/the unkillable soldier.mp3,Sabaton,metalpower metalswedish metalswedish power metal,metal
don't look back,./audio_data/metal_mp3/don't look back.mp3,Mustasch,eurovisionstoner metalswedish alternative rock,metal
revolution is my name - 2020 terry date mix,./audio_data/metal_mp3/revolution is my name - 2020 terry date mix.mp3,Pantera,alternative metalgroove metalhard rockmetalnu metalold school thrashrocktexas metal,metal
the world is burning,./audio_data/metal_mp3/the world is burning.mp3,Ember Falls,electronic djentfinnish metalmelodic metal,metal
reaggression,./audio_data/metal_mp3/reaggression.mp3,Flotsam & Jetsam,metalold school thrashpower thrashspeed metalthrash metal,metal
into the storm,./audio_data/metal_mp3/into the storm.mp3,Gojira,alternative metalfrench death metalfrench metalmetalnu metalprogressive groove metalrock,metal
fever dreams,./audio_data/metal_mp3/fever dreams.mp3,Dio,album rockglam metalhard rockmetalpower metalrock,metal
immortally insane,./audio_data/metal_mp3/immortally insane.mp3,Pantera,alternative metalgroove metalhard rockmetalnu metalold school thrashrocktexas metal,metal
party in my head,./audio_data/metal_mp3/party in my head.mp3,Pain,industrial metalmetalneue deutsche hartepower metal,metal
dracula,./audio_data/metal_mp3/dracula.mp3,Mystic Prophecy,german metalgerman power metalmelodic metalmetalneo classical metalneo-trad metalpower metal,metal
i want out,./audio_data/metal_mp3/i want out.mp3,Helloween,german metalgerman power metalhard rockmelodic metalmetalneo classical metalold school thrashpower metalrockspeed metal,metal
jinnslammer,./audio_data/metal_mp3/jinnslammer.mp3,Ignea,gothic metalmelodic metalslayersymphonic death metalsymphonic metalsymphonic power metalukrainian metal,metal
masquerade of madness,./audio_data/metal_mp3/masquerade of madness.mp3,King Diamond,danish metaldeath metalhard rockmetalpower metalthrash metal,metal
we stand as one,./audio_data/metal_mp3/we stand as one.mp3,Burning Witches,melodic metalslayerswiss metal,metal
death by design,./audio_data/metal_mp3/death by design.mp3,Diamond Head,hard rockmetalnwobhmspeed metalthrash metal,metal
the skeleton key,./audio_data/metal_mp3/the skeleton key.mp3,Epica,dutch metalgothic metalgothic symphonic metalopera metalpower metalsymphonic metal,metal
sneeztem of a yawn,./audio_data/metal_mp3/sneeztem of a yawn.mp3,NanowaR of Steel,comic metalitalian metalpower metal,metal
life's a bitch,./audio_data/metal_mp3/life's a bitch.mp3,Accept,album rockgerman heavy metalgerman metalglam metalhard rockmetalpower metalrockspeed metalthrash metal,metal
feast of fire,./audio_data/metal_mp3/feast of fire.mp3,Trivium,alternative metalmelodic metalcoremelodic thrashmetalmetalcorenu metal,metal
construction of souls,./audio_data/metal_mp3/construction of souls.mp3,Avatar,alternative metalgothenburg metalmelodic death metalnu metalswedish melodeath,metal
strongest of the strong,./audio_data/metal_mp3/strongest of the strong.mp3,Kreator,death metalgerman metalgerman thrash metalhard rockmelodic thrashmetalold school thrashpower metalspeed metalthrash metal,metal
cyberhex,./audio_data/metal_mp3/cyberhex.mp3,Motionless In White,alternative metalmetalcore,metal
sorcerer's fate,./audio_data/metal_mp3/sorcerer's fate.mp3,Spirit Adrift,epic doom,metal
end of the attention span,./audio_data/metal_mp3/end of the attention span.mp3,Armored Saint,hard rockmetalthrash metalus power metal,metal
armed to the teeth,./audio_data/metal_mp3/armed to the teeth.mp3,Annihilator,canadian metaldeath metalhard rockmetalneo classical metalold school thrashpower metalspeed metaltechnical groove metalthrash metal,metal
a perfect day to die,./audio_data/metal_mp3/a perfect day to die.mp3,Onslaught,crossover thrashdeath metalmetalold school thrashspeed metalthrash metal,metal
at the end of the rainbow,./audio_data/metal_mp3/at the end of the rainbow.mp3,Enforcer,metalnew wave of speed metalnwothmspeed metalswedish heavy metalthrash metalvarmland rock,metal
return of the sentinel,./audio_data/metal_mp3/return of the sentinel.mp3,KK's Priest,metal,metal
masters of war,./audio_data/metal_mp3/masters of war.mp3,Amon Amarth,alternative metaldeath metalmelodic death metalmetalpower metalswedish death metalswedish melodeathswedish metaltolkien metalviking metal,metal
teardrinker,./audio_data/metal_mp3/teardrinker.mp3,Mastodon,alternative metalatlanta metalhard rockmetalnu metalprogressive groove metalprogressive sludgerocksludge metalstoner metal,metal
hellbreaker,./audio_data/metal_mp3/hellbreaker.mp3,Motorjesus,german hard rockmodern hard rock,metal
sermons of the sinner,./audio_data/metal_mp3/sermons of the sinner.mp3,KK's Priest,metal,metal
maximus,./audio_data/metal_mp3/maximus.mp3,Warkings,melodic metal,metal
the inevitable end,./audio_data/metal_mp3/the inevitable end.mp3,Manimal,melodic metalneo-trad metalpower metalsymphonic power metal,metal
we stand alone,./audio_data/metal_mp3/we stand alone.mp3,Angelus Apatrida,latin metalnew wave of thrash metalspanish metalthrash metal,metal
nabbed in nebraska,./audio_data/metal_mp3/nabbed in nebraska.mp3,Anvil,canadian metalhard rockmetalspeed metalthrash metal,metal
take the world,./audio_data/metal_mp3/take the world.mp3,Mammothor,,metal
warriors,./audio_data/metal_mp3/warriors.mp3,Warkings,melodic metal,metal
dragula,./audio_data/metal_mp3/dragula.mp3,Rob Zombie,alternative metalindustrial metalindustrial rocknu metalrap rockrock,metal
thunderstruck,./audio_data/metal_mp3/thunderstruck.mp3,AC/DC,australian rockhard rockrock,metal
you could be mine,./audio_data/metal_mp3/you could be mine.mp3,Guns N' Roses,glam metalhard rockrock,metal
them bones,./audio_data/metal_mp3/them bones.mp3,Alice In Chains,alternative metalalternative rockgrungehard rocknu metalrock,metal
cherry pie,./audio_data/metal_mp3/cherry pie.mp3,Warrant,album rockglam metalhard rockrock,metal
symphony of destruction,./audio_data/metal_mp3/symphony of destruction.mp3,Megadeth,album rockalternative metalhard rockmelodic thrashmetalold school thrashrockspeed metalthrash metal,metal
killing in the name,./audio_data/metal_mp3/killing in the name.mp3,Rage Against The Machine,alternative metalalternative rockconscious hip hopfunk metalnu metalpolitical hip hoprap metalrap rockrock,metal
we die young,./audio_data/metal_mp3/we die young.mp3,Alice In Chains,alternative metalalternative rockgrungehard rocknu metalrock,metal
living dead girl,./audio_data/metal_mp3/living dead girl.mp3,Rob Zombie,alternative metalindustrial metalindustrial rocknu metalrap rockrock,metal
holy wars...the punishment due - remastered,./audio_data/metal_mp3/holy wars...the punishment due - remastered.mp3,Megadeth,album rockalternative metalhard rockmelodic thrashmetalold school thrashrockspeed metalthrash metal,metal
painkiller,./audio_data/metal_mp3/painkiller.mp3,Judas Priest,album rockbirmingham metalglam metalhard rockmetalpower metalrock,metal
freak on a leash,./audio_data/metal_mp3/freak on a leash.mp3,Korn,alternative metalfunk metalnu metalrap metalrock,metal
tornado of souls,./audio_data/metal_mp3/tornado of souls.mp3,Megadeth,album rockalternative metalhard rockmelodic thrashmetalold school thrashrockspeed metalthrash metal,metal
my own summer (shove it),./audio_data/metal_mp3/my own summer (shove it).mp3,Deftones,alternative metalnu metalrap metalrocksacramento indie,metal
thunder kiss '65,./audio_data/metal_mp3/thunder kiss '65.mp3,White Zombie,alternative metalalternative rockhard rockindustrial metalmetalnu metalrap metalrap rockrock,metal
cowboys from hell,./audio_data/metal_mp3/cowboys from hell.mp3,Pantera,alternative metalgroove metalhard rockmetalnu metalold school thrashrocktexas metal,metal
bombtrack,./audio_data/metal_mp3/bombtrack.mp3,Rage Against The Machine,alternative metalalternative rockconscious hip hopfunk metalnu metalpolitical hip hoprap metalrap rockrock,metal
hammer smashed face,./audio_data/metal_mp3/hammer smashed face.mp3,Cannibal Corpse,alternative metalbrutal death metalbuffalo ny metaldeath metalmetal,metal
blind,./audio_data/metal_mp3/blind.mp3,Korn,alternative metalfunk metalnu metalrap metalrock,metal
be quiet and drive (far away),./audio_data/metal_mp3/be quiet and drive (far away).mp3,Deftones,alternative metalnu metalrap metalrocksacramento indie,metal
when worlds collide,./audio_data/metal_mp3/when worlds collide.mp3,Powerman 5000,alternative metalfunk metalindustrial metalindustrial rocknu metalrap metalrap rock,metal
black no. 1 (little miss scare -all),./audio_data/metal_mp3/black no. 1 (little miss scare -all).mp3,Type O Negative,alternative metalgothic metalindustrial metalindustrial rockmetalnu metalrock,metal
walk,./audio_data/metal_mp3/walk.mp3,Pantera,alternative metalgroove metalhard rockmetalnu metalold school thrashrocktexas metal,metal
sad but true (remastered),./audio_data/metal_mp3/sad but true (remastered).mp3,Metallica,hard rockmetalold school thrashrockthrash metal,metal
closer,./audio_data/metal_mp3/closer.mp3,Nine Inch Nails,alternative metalalternative rockcyberpunkelectronic rockindustrialindustrial metalindustrial rocknu metalrock,metal
pull me under,./audio_data/metal_mp3/pull me under.mp3,Dream Theater,neo classical metalprogressive metal,metal
no more tears,./audio_data/metal_mp3/no more tears.mp3,Ozzy Osbourne,album rockbirmingham metalhard rockmetalrock,metal
midlife crisis,./audio_data/metal_mp3/midlife crisis.mp3,Faith No More,alternative metalalternative rockfunk metalfunk rockhard rocknu metalrap metalrap rockrock,metal
jesus built my hotrod,./audio_data/metal_mp3/jesus built my hotrod.mp3,Ministry,alternative metaldouble drummingindustrialindustrial metalindustrial rocknu metalrap rock,metal
(sic),./audio_data/metal_mp3/(sic).mp3,Slipknot,alternative metalnu metalrap metal,metal
forty six & 2,./audio_data/metal_mp3/forty six & 2.mp3,TOOL,alternative metalalternative rockart rocknu metalprogressive metalprogressive rockrock,metal
chop suey!,./audio_data/metal_mp3/chop suey!.mp3,System Of A Down,alternative metalnu metalrap metalrock,metal
sick of you,./audio_data/metal_mp3/sick of you.mp3,Gwar,alternative metalcomiccomic metalindustrial metalmetalnu metalold school thrashthrash metalvirginia metalvirginia punk,metal
slave to the grind,./audio_data/metal_mp3/slave to the grind.mp3,Skid Row,album rockglam metalhard rockmetalrock,metal
spit it out,./audio_data/metal_mp3/spit it out.mp3,Slipknot,alternative metalnu metalrap metal,metal
hellraiser,./audio_data/metal_mp3/hellraiser.mp3,Motörhead,album rockalternative metalhard rockmetalrockspeed metal,metal
green machine,./audio_data/metal_mp3/green machine.mp3,Kyuss,alternative metalalternative rockgrungepalm desert scenerocksludge metalspace rockstoner metalstoner rock,metal
stinkfist,./audio_data/metal_mp3/stinkfist.mp3,TOOL,alternative metalalternative rockart rocknu metalprogressive metalprogressive rockrock,metal
witches' dance,./audio_data/metal_mp3/witches' dance.mp3,Mercyful Fate,album rockdanish metaldeath metaldoom metalhard rockmetalthrash metal,metal
break stuff,./audio_data/metal_mp3/break stuff.mp3,Limp Bizkit,alternative metalfunk metalnu metalrap metal,metal
monkey business,./audio_data/metal_mp3/monkey business.mp3,Skid Row,album rockglam metalhard rockmetalrock,metal
more human than human,./audio_data/metal_mp3/more human than human.mp3,White Zombie,alternative metalalternative rockhard rockindustrial metalmetalnu metalrap metalrap rockrock,metal
engine no. 9,./audio_data/metal_mp3/engine no. 9.mp3,Deftones,alternative metalnu metalrap metalrocksacramento indie,metal
ænema,./audio_data/metal_mp3/ænema.mp3,TOOL,alternative metalalternative rockart rocknu metalprogressive metalprogressive rockrock,metal
bring the noise,./audio_data/metal_mp3/bring the noise.mp3,Anthrax,album rockalternative metalhard rockmetalnu metalold school thrashrap metalrockspeed metalthrash metal,metal
nookie,./audio_data/metal_mp3/nookie.mp3,Limp Bizkit,alternative metalfunk metalnu metalrap metal,metal
falling away from me,./audio_data/metal_mp3/falling away from me.mp3,Korn,alternative metalfunk metalnu metalrap metalrock,metal
snot,./audio_data/metal_mp3/snot.mp3,Snot,alternative metalfunk metalfunk rockgroove metalindustrial metalnu metalrap rock,metal
the gentle art of making enemies - 2016 remaster,./audio_data/metal_mp3/the gentle art of making enemies - 2016 remaster.mp3,Faith No More,alternative metalalternative rockfunk metalfunk rockhard rocknu metalrap metalrap rockrock,metal
