track_name,artist_name,preview,artist_genre
About A Girl,Nirvana,./data/About A Girl,alternative rock grunge permanent wave rock
Maneater,Daryl Hall & John Oates,./data/Maneater,album rock classic rock mellow gold rock soft rock yacht rock
You Get What You Give,New Radicals,./data/You Get What You Give,pop rock
Karma Police,Radiohead,./data/Karma Police,alternative rock art rock melancholia oxford indie permanent wave rock
Livin' Thing,Electric Light Orchestra,./data/Livin' Thing,album rock art rock beatlesque classic rock glam rock mellow gold rock soft rock symphonic rock
Losing My Religion,R.E.M.,./data/Losing My Religion,alternative rock athens indie classic rock permanent wave pop rock rock
Dreams - 2004 Remaster,Fleetwood Mac,./data/Dreams - 2004 Remaster,album rock classic rock mellow gold rock soft rock yacht rock
You Make My Dreams (Come True),Daryl Hall & John Oates,./data/You Make My Dreams (Come True),album rock classic rock mellow gold rock soft rock yacht rock
Don't Speak,No Doubt,./data/Don't Speak,alternative rock dance pop dance rock permanent wave pop rock
Hysteria - Remastered 2017,Def Leppard,./data/Hysteria - Remastered 2017,album rock glam metal hard rock nwobhm rock
Scar Tissue,Red Hot Chili Peppers,./data/Scar Tissue,alternative rock funk metal funk rock permanent wave rock
Good Riddance (Time of Your Life),Green Day,./data/Good Riddance (Time of Your Life),permanent wave punk
High and Dry,Radiohead,./data/High and Dry,alternative rock art rock melancholia oxford indie permanent wave rock
Here Comes The Sun - Remastered,The Beatles,./data/Here Comes The Sun - Remastered,beatlesque british invasion classic rock merseybeat psychedelic rock rock
Breakfast In America - Remastered,Supertramp,./data/Breakfast In America - Remastered,album rock art rock classic rock glam rock mellow gold piano rock progressive rock rock soft rock
Janie's Got A Gun,Aerosmith,./data/Janie's Got A Gun,album rock classic rock hard rock rock
Rich Girl,Daryl Hall & John Oates,./data/Rich Girl,album rock classic rock mellow gold rock soft rock yacht rock
Under the Bridge,Red Hot Chili Peppers,./data/Under the Bridge,alternative rock funk metal funk rock permanent wave rock
Rocket Man (I Think It's Going To Be A Long Long Time),Elton John,./data/Rocket Man (I Think It's Going To Be A Long Long Time),glam rock mellow gold piano rock
Wanted Dead Or Alive,Bon Jovi,./data/Wanted Dead Or Alive,glam metal rock
Linger,The Cranberries,./data/Linger,irish rock pop rock rock
Disarm - Remastered,The Smashing Pumpkins,./data/Disarm - Remastered,alternative metal alternative rock grunge permanent wave pop rock rock
Everywhere,Fleetwood Mac,./data/Everywhere,album rock classic rock mellow gold rock soft rock yacht rock
Don't Stop Believin',Journey,./data/Don't Stop Believin',album rock classic rock hard rock mellow gold rock soft rock
Rosanna,TOTO,./data/Rosanna,album rock classic rock mellow gold rock soft rock yacht rock
Drive,Incubus,./data/Drive,alternative metal alternative rock funk metal funk rock nu metal pop rock post-grunge rock
Come As You Are,Nirvana,./data/Come As You Are,alternative rock grunge permanent wave rock
Wonderwall,Oasis,./data/Wonderwall,beatlesque britpop madchester permanent wave rock
Tiny Dancer,Elton John,./data/Tiny Dancer,glam rock mellow gold piano rock
Beast Of Burden - Remastered 1994,The Rolling Stones,./data/Beast Of Burden - Remastered 1994,british invasion classic rock rock
What's Up?,4 Non Blondes,./data/What's Up?,new wave pop pop rock
Blackbird - Remastered 2009,The Beatles,./data/Blackbird - Remastered 2009,beatlesque british invasion classic rock merseybeat psychedelic rock rock
Hotel California - 2013 Remaster,Eagles,./data/Hotel California - 2013 Remaster,album rock classic rock country rock folk rock heartland rock mellow gold rock soft rock yacht rock
My Sweet Lord - Remastered 2014,George Harrison,./data/My Sweet Lord - Remastered 2014,album rock beatlesque classic rock folk rock mellow gold rock soft rock
What a Fool Believes,The Doobie Brothers,./data/What a Fool Believes,album rock blues rock classic rock country rock folk rock hard rock heartland rock mellow gold rock soft rock yacht rock
Hole In My Soul,Aerosmith,./data/Hole In My Soul,album rock classic rock hard rock rock
Since I Don't Have You,Guns N' Roses,./data/Since I Don't Have You,glam metal hard rock rock
